CourseID,Course Name,Fac,Theme,Programme,Platform
RAIL_01P,Railway Engineering: Track and Train Interaction,CEG,0,Railway Engineering,ProfEd
RAIL_02P,Railway Engineering: Real Time Operations,CEG,0,Railway Engineering,ProfEd
RAIL_03P,Railway Engineering: Performance over Time,CEG,0,Railway Engineering,ProfEd
RAIL_04P,Railway Engineering: Capstone Project,CEG,0,Railway Engineering,ProfEd
PVpro1x,PV materials and devices modelling,EWI,0,"PV Modeling, Simulation and Analysis",ProfEd
PVpro2x,PV systems modelling,EWI,0,"PV Modeling, Simulation and Analysis",ProfEd
AE-NRS01x,Aeroacoustics: Noise Reduction Strategies for Mechanical Systems,LR,0,Aeroacoustics,ProfEd
AE-MTA01x,Aeroacoustics: Measurement Techniques,LR,0,Aeroacoustics,ProfEd
EX102SPx,Análisis de datos: Diseño y Visualización de Tableros,EWI,DAP, Análisis y Visualización de Datos con Excel (PCP),edX
EX102SPx,Análisis de datos: Diseño y Visualización de Tableros,EWI,DAP, Análisis y Visualización de Datos con Excel (PCP),edX
EX101SPx,Análisis de datos: Llévalo al MAX(),EWI,DAP, Análisis y Visualización de Datos con Excel (PCP),edX
EX101SPx,Análisis de datos: Llévalo al MAX(),EWI,DAP, Análisis y Visualización de Datos con Excel (PCP),edX
ST2x,Automated Software Testing: Advanced skills for Java Developers,EWI,DAP,Automated Software Testing in Java (PCP),edX
ST2x,Automated Software Testing: Advanced skills for Java Developers,EWI,DAP,Automated Software Testing in Java (PCP),edX
ST1x,Automated Software Testing: Practical Skills for Java Delopers,EWI,DAP,Automated Software Testing in Java (PCP),edX
ST1x,Automated Software Testing: Practical Skills for Java Delopers,EWI,DAP,Automated Software Testing in Java (PCP),edX
BMI.2x,BM Design,TBM,BSR,Business Model Innovation (XSerie),edX
BMI.2x,BM Design,TBM,BSR,Business Model Innovation (XSerie),edX
BMI.2x,BM Design,TBM,BSR,Business Model Innovation (PCP),edX
BMI.2x,BM Design,TBM,BSR,Business Model Innovation (PCP),edX
BMI.4x,BM Implementation,TBM,BSR,Business Model Innovation (XSerie),edX
BMI.4x,BM Implementation,TBM,BSR,Business Model Innovation (XSerie),edX
BMI.4x,BM Implementation,TBM,BSR,Business Model Innovation (PCP),edX
BMI.4x,BM Implementation,TBM,BSR,Business Model Innovation (PCP),edX
BMI.5x,BM Metrics and Tools,TBM,BSR,Business Model Innovation (XSerie),edX
BMI.5x,BM Metrics and Tools,TBM,BSR,Business Model Innovation (XSerie),edX
BMI.3x,BM Testing,TBM,BSR,Business Model Innovation (XSerie),edX
BMI.3x,BM Testing,TBM,BSR,Business Model Innovation (XSerie),edX
BMI.3x,BM Testing,TBM,BSR,Business Model Innovation (PCP),edX
BMI.3x,BM Testing,TBM,BSR,Business Model Innovation (PCP),edX
LEfE3x,Communicating Effectively: How to inspire and convince,TBM,BSR,Leadership Essentials for Engineers (PCP),edX
LEfE3x,Communicating Effectively: How to inspire and convince,TBM,BSR,Leadership Essentials for Engineers (PCP),edX
LEfE3x,Communicating Effectively: How to inspire and convince,TBM,BSR,Leadership Essentials for Engineers (PCP),edX
LEfE3x,Communicating Effectively: How to inspire and convince,TBM,BSR,Leadership Essentials for Engineers (PCP),edX
EX101x,Data Analysis EX101,EWI,DAP,Data Analysis (XSerie),edX
EX101x,Data Analysis EX101,EWI,DAP,Data Analysis (XSerie),edX
EX101x,Data Analysis EX101,EWI,DAP,Data Analysis & Visualization with Excel (PCP),edX
EX101x,Data Analysis EX101,EWI,DAP,Data Analysis & Visualization with Excel (PCP),edX
EX102x,Data Analysis EX102,EWI,DAP,Data Analysis (XSerie),edX
EX102x,Data Analysis EX102,EWI,DAP,Data Analysis (XSerie),edX
EX102x,Data Analysis EX102,EWI,DAP,Data Analysis (XSerie),edX
EX103x,Data Analysis EX103,EWI,DAP,Data Analysis (XSerie),edX
EX103x,Data Analysis EX103,EWI,DAP,Data Analysis (XSerie),edX
EX100,Data Analysis Xserie,EWI,DAP,Data Analysis (XSerie),edX
EX102x,Data Analysis: Visualization and Dashboard Design,EWI,DAP,Data Analysis & Visualization with Excel (PCP),edX
EX102x,Data Analysis: Visualization and Dashboard Design,EWI,DAP,Data Analysis & Visualization with Excel (PCP),edX
MED01x,Design in Healthcare,IO,DA,Product Design & Health (PCP),edX
MED01x,Design in Healthcare,IO,DA,Product Design & Health (PCP),edX
MED01x,Design in Healthcare,IO,DA,Product Design & Health (PCP),edX
MED01x,Design in Healthcare,IO,DA,Product Design & Health (PCP),edX
CTB3365DWx,Drinking Water Treatment,CITG,HE,Water Management (XSerie),edX
CTB3365DWx,Drinking Water Treatment,CITG,HE,Water Management (XSerie),edX
CTB3365DWx,Drinking Water Treatment,CITG,HE,Water Management (XSerie),edX
CTB3365DWx,Drinking Water Treatment,CITG,HE,Water Management (XSerie),edX
